hometeam,awayteam,game,season,tie,homewin,draw,awaywin
Bayern Munich,Juventus,2,2016,juventus-bayern,0.6614115656,0.2142371446,0.1243512898
Dyn. Kyiv,Manchester City,1,2016,kyiv-city,0.2879749377,0.3071732669,0.40485179530000004
Manchester City,Dyn. Kyiv,2,2016,kyiv-city,0.6699915781,0.2084540071,0.1215544147
Paris SG,Chelsea,1,2016,psg-chelsea,0.5904754614,0.24909649679999998,0.1604280418
Chelsea,Paris SG,2,2016,psg-chelsea,,,
PSV,Atl. Madrid,1,2016,psv-atletico,0.199387465,0.2951178381,0.5054946968999999
Atl. Madrid,PSV,2,2016,psv-atletico,0.7361574114,0.1808761581,0.08296643052
AS Roma,Real Madrid,1,2016,roma-madrid,0.23069712969999998,0.2543739404,0.5149289299
Real Madrid,AS Roma,2,2016,roma-madrid,0.7115077198,0.1668009911,0.1216912891
Barcelona,Atl. Madrid,1,2016,barcelona-atletico,0.6358340164999999,0.2307870088,0.1333789747
Atl. Madrid,Barcelona,2,2016,barcelona-atletico,0.3080752339,0.28202805670000003,0.4098967095
Bayern Munich,Benfica,1,2016,bayern-benfica,0.7874385142,0.1449788716,0.06758261424999999
Benfica,Bayern Munich,2,2016,bayern-benfica,0.14086207050000002,0.22810997239999997,0.6310279571
Paris SG,Manchester City,1,2016,psg-city,0.571601632,0.24266574219999998,0.1857326258
Manchester City,Paris SG,2,2016,psg-city,0.3377082981,0.2728377775,0.3894539244
Wolfsburg,Real Madrid,1,2016,wolfsburg-madrid,0.1767331825,0.22162421969999999,0.6016425977000001
Real Madrid,Wolfsburg,2,2016,wolfsburg-madrid,0.8142428314,0.1161920682,0.06956510041
Atl. Madrid,Bayern Munich,1,2016,atletico-bayern,0.303893133,0.32750645079999996,0.3686004161
Bayern Munich,Atl. Madrid,2,2016,atletico-bayern,0.6167284724000001,0.2375354761,0.1457360515
Manchester City,Real Madrid,1,2016,city-madrid,0.37527104829999997,0.294285503,0.33044344870000003
Real Madrid,Manchester City,2,2016,city-madrid,0.6529523528,0.2079294093,0.1391182379
Bayern Munich,Arsenal,1,2017,bayern-arsenal,0.6921631489,0.1903788622,0.1174579889
Arsenal,Bayern Munich,2,2017,bayern-arsenal,0.2413772748,0.2326737673,0.5259489579
Benfica,Dortmund,1,2017,benfica-dortmund,0.3014787725,0.2889171569,0.40960407060000004
Dortmund,Benfica,2,2017,benfica-dortmund,0.7579389871,0.1511287892,0.09093222368
Manchester City,Monaco,1,2017,city-monaco,0.603982995,0.2245416418,0.1714753632
Monaco,Manchester City,2,2017,city-monaco,0.3351490145,0.25092763,0.4139233555
Bayer Leverkusen,Atl. Madrid,1,2017,leverkusen-atletico,0.3203807998,0.3131229823,0.3664962179
Atl. Madrid,Bayer Leverkusen,2,2017,leverkusen-atletico,0.6341101319,0.21740317,0.148486698
Real Madrid,Napoli,1,2017,madrid-napoli,0.6268003578,0.2163020398,0.1568976024
Napoli,Real Madrid,2,2017,madrid-napoli,0.3227077103,0.24509446350000003,0.43219782619999997
FC Porto,Juventus,1,2017,porto-juventus,0.3186965274,0.325113236,0.3561902365
Juventus,FC Porto,2,2017,porto-juventus,0.5535337896,0.2678797262,0.1785864841
Paris SG,Barcelona,1,2017,psg-barcelona,0.3044350967,0.282310453,0.4132544503
Barcelona,Paris SG,2,2017,psg-barcelona,0.6324788042,0.194201541,0.17331965489999998
Sevilla,Leicester,1,2017,sevilla-leicester,0.7076237117,0.18720204010000002,0.1051742481
Leicester,Sevilla,2,2017,sevilla-leicester,0.32211101,0.2684258417,0.40946314829999997
Atl. Madrid,Leicester,1,2017,atletico-leicester,0.7290674890000001,0.183652239,0.08728027200999999
Leicester,Atl. Madrid,2,2017,atletico-leicester,0.2197439195,0.2536834253,0.5265726552000001
Bayern Munich,Real Madrid,1,2017,bayern-madrid,0.572062974,0.22271639699999998,0.2052206291
Real Madrid,Bayern Munich,2,2017,bayern-madrid,0.3703375245,0.2491187987,0.3805436768
Dortmund,Monaco,1,2017,dortmund-monaco,0.6282071464,0.1971035798,0.1746892738
Monaco,Dortmund,2,2017,dortmund-monaco,0.3311340029,0.23378858519999998,0.4350774119
Juventus,Barcelona,1,2017,juventus-barcelona,0.35870729100000004,0.2891073688,0.35218534020000003
Barcelona,Juventus,2,2017,juventus-barcelona,0.6513885037,0.1892196089,0.1593918873
Real Madrid,Atl. Madrid,1,2017,madrid-atletico,0.5358332197,0.27442654910000003,0.1897402312
Atl. Madrid,Real Madrid,2,2017,madrid-atletico,0.3676936156,0.27012128739999997,0.362185097
Monaco,Juventus,1,2017,monaco-juventus,0.30477406879999996,0.2963857917,0.3988401395
Juventus,Monaco,2,2017,monaco-juventus,0.5868879632,0.2450592515,0.1680527853
Basel,Manchester City,1,2018,basel-city,0.08657752792000001,0.1824138159,0.7310086562
Manchester City,Basel,2,2018,basel-city,0.7578716534000001,0.1675579675,0.07457037909
